imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url,drive_url,file_id
tt0804503,80337,series,Mad Men,2007,Drama,45,"Jon Hamm,Aaron Staton,Vincent Kartheiser",8.7,266443,12,7,https://artworks.thetvdb.com/banners/series/80337/backgrounds/5f46cf9ae13a5.jpg,https://drive.google.com/file/d/1rAAamkpM9ZdKulsriHd7LIyoeI7n-wVt/view?usp=drive_link,1rAAamkpM9ZdKulsriHd7LIyoeI7n-wVt
tt0805663,79330,series,Jericho,2006,"Action,Drama,Mystery",45,"Skeet Ulrich,Kenneth Mitchell,Lennie James",7.9,59339,12,2,https://artworks.thetvdb.com/banners/v4/series/79330/backgrounds/66aeb89072df4.jpg,https://drive.google.com/file/d/1_qK5Ks3DefXYQBB-NG5bo2xJB0xv-fN6/view?usp=drive_link,1_qK5Ks3DefXYQBB-NG5bo2xJB0xv-fN6
tt0808279,7846,movie,Funny Games,2007,"Crime,Drama,Thriller",111,"Michael Pitt,Tim Roth,Brady Corbet",6.5,105288,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/7846/backgrounds/65ded5b3eee26.jpg,https://drive.google.com/file/d/1YGRaU6lkUP9oE_I1l9zuyZGYekLNOS2y/view?usp=drive_link,1YGRaU6lkUP9oE_I1l9zuyZGYekLNOS2y
tt0810788,80270,series,Burn Notice,2007,"Action,Crime,Drama",44,"Jeffrey Donovan,Bruce Campbell,Coby Bell",8.0,80078,6,7,https://disney.images.edge.bamgrid.com/ripcut-delivery/v2/variant/disney/80d8f6f4-ab99-434c-b039-1d9693648c75/compose?format=webp&label=standard_regular_prompt_178&width=800,https://drive.google.com/file/d/1DCxUL3wDI7FJYioq2YpyiyO7ZNjKB69V/view?usp=drive_link,1DCxUL3wDI7FJYioq2YpyiyO7ZNjKB69V
tt0810913,5552,movie,Jack and Jill,2011,Comedy,91,"Adam Sandler,Al Pacino",3.3,91659,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/5552/backgrounds/628bc2d237a90.jpg,https://drive.google.com/file/d/1MsdI71vpnjqgp_ozt8RXoinv2FAUCNs6/view?usp=drive_link,1MsdI71vpnjqgp_ozt8RXoinv2FAUCNs6
tt0813715,79501,series,Heroes,2006,"Crime,Drama,Fantasy",45,"Jack Coleman,Milo Ventimiglia,Masi Oka",7.5,253807,12,4,https://w0.peakpx.com/wallpaper/931/708/HD-wallpaper-heroes-so3-villans-season-3-heroes-season-3-heroes-thumbnail.jpg,https://drive.google.com/file/d/1SnkumdapzwmZ1YvwTtgPaOWCtogeVExW/view?usp=drive_link,1SnkumdapzwmZ1YvwTtgPaOWCtogeVExW
tt0816692,131079,movie,Interstellar,2014,"Adventure,Drama,Sci-Fi",169,"Matthew McConaughey,John Lithgow,Timothée Chalamet",8.7,2174618,12,MOVIE,https://w0.peakpx.com/wallpaper/272/410/HD-wallpaper-interstellar-movie-interstellar-movies-thumbnail.jpg,https://drive.google.com/file/d/1ZJOU8J54-njsG5E6BW8HYGJ1yWqYPjdw/view?usp=drive_link,1ZJOU8J54-njsG5E6BW8HYGJ1yWqYPjdw
tt0840196,79773,series,Skins,2007,Drama,46,"Nicholas Hoult,Joe Dempsie,Mike Bailey",8.2,94818,16,7,https://occ-0-435-768.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABX9AAyXTzM-nZ_zgk8_O9jsP3WaIRLcSgCp6IETgSGXTLaFw2_zj37eNQa_noUTTTKYVT3y-33sX_JhsTH4A6X6yxHiPYxUR60AaogElBtA6vVp4Ayv0ApNANIPVwF1uCXHW6S1NFEbNy7jrnoXgUd0p0tWpjhgJYWBw0Q1AidaW4kRWZ2D90oL_niqyeGSevnZWBLTXfRlaBdGwHqEjlmKNvY1ZsRiahUvmEqoMSa3Yh4HYS4POLGc5ZF7tx3Gt_dh-xGWyNxAioyFka5MkM4s9mg.webp?r=fdc,https://drive.google.com/file/d/14fir9sMwj5Frtx3VC_89uJrZn-YR3RvY/view?usp=drive_link,14fir9sMwj5Frtx3VC_89uJrZn-YR3RvY
tt0844441,82283,series,True Blood,2008,"Drama,Fantasy,Mystery",55,"Stephen Moyer,Sam Trammell,Ryan Kwanten",7.9,262900,16,7,https://artworks.thetvdb.com/banners/v4/series/82283/backgrounds/650d1bf42f383.jpg,https://drive.google.com/file/d/1ibFFvXLvO0Jvwe1pduQ6OI01tY0vb1us/view?usp=drive_link,1ibFFvXLvO0Jvwe1pduQ6OI01tY0vb1us
tt0848228,31,movie,The Avengers,2012,"Action,Sci-Fi",143,"Robert Downey Jr.,Robert Downey Jr.,Chris Evans",8.0,1480218,12,MOVIE,https://disney.images.edge.bamgrid.com/ripcut-delivery/v2/variant/disney/cba46036-b2a5-4d9c-b7ec-9045873fa376/compose?format=webp&label=standard_regular_prompt_178&width=800,https://drive.google.com/file/d/1HB8MF32JfQjfvZBShglgXuW1AKPh8oqz/view?usp=drive_link,1HB8MF32JfQjfvZBShglgXuW1AKPh8oqz
